# Official 通用规范汉字 readings from mozillazg/pinyin-data kTGHZ2013
# Frequency copied from the character unigram so alternate readings stay typeable.
can	80	蚕
can	6	璨
can	2	粲
can	1	䅟
can	1	惭
can	1	骖
can	1	黪
cang	6578	藏
cang	964	舱
cang	297	仓
cang	178	沧
cang	80	伧
cang	40	苍
cang	1	鸧
cao	7948	操
cao	1385	草
cao	466	槽
cao	444	曹
cao	62	嘈
cao	8	糙
cao	3	漕
cao	1	艚
cao	1	螬
cao	1	𥕢
ce	232	侧
ce	195	册
ce	143	策
ce	124	测
ce	80	厕
ce	1	恻
cen	80	参
cen	80	涔
cen	10	岑
ceng	12776	曾
ceng	744	层
ceng	304	蹭
ceng	95	噌
ceng	80	嶒
cha	4697	查
cha	3818	茶
cha	3759	差
cha	1656	插
cha	534	叉
cha	182	喳
cha	164	搽
cha	130	茬
cha	93	诧
cha	80	刹
cha	80	嚓
cha	80	察
cha	80	檫
cha	80	蹅
cha	80	馇
cha	58	碴
cha	35	岔
cha	23	侘
cha	15	猹
cha	7	杈
cha	7	汊
cha	5	镲
cha	3	衩
cha	2	姹
cha	1	垞
cha	1	嵖
cha	1	槎
cha	1	锸
cha	1	𥻗
chai	1240	拆
chai	282	柴
chai	150	差
chai	80	瘥
chai	80	茝
chai	8	豺
chai	3	钗
chai	1	侪
chai	1	虿
chan	1510	单
chan	894	缠
chan	437	产
chan	275	铲
chan	163	馋
chan	98	掺
chan	80	啴
chan	80	孱
chan	80	忏
chan	80	澶
chan	80	禅
chan	80	襜
chan	80	躔
chan	80	镡
chan	80	颤
chan	68	蝉
chan	62	辿
chan	26	搀
chan	7	蟾
chan	4	觇
chan	4	谗
chan	3	婵
chan	2	羼
chan	2	谄
chan	1	儳
chan	1	冁
chan	1	刬
chan	1	巉
chan	1	廛
chan	1	旵
chan	1	梴
chan	1	浐
chan	1	潺
chan	1	瀍
chan	1	蒇
chan	1	镵
chan	1	阐
chan	1	韂
chan	1	骣
chan	1	𬊤
chang	8934	唱
chang	7472	长
chang	4112	常
chang	2915	场
chang	648	尝
chang	590	厂
chang	105	肠
chang	82	昌
chang	81	偿
chang	80	惝
chang	80	敞
chang	57	阊
chang	40	徜
chang	24	娼
chang	17	畅
chang	8	嫦
chang	5	猖
chang	4	苌
chang	3	鲳
chang	2	菖
chang	1	伥
chang	1	倡
chang	1	怅
chang	1	昶
chang	1	氅
chang	1	鬯
chang	1	鲿
chang	1	𬬮
chao	3285	吵
chao	3087	朝
chao	2547	超
chao	1918	炒
chao	628	抄
chao	247	潮
chao	163	巢
chao	84	钞
chao	80	嘲
chao	80	晁
chao	80	焯
chao	80	绰
chao	2	耖
chao	1	弨
chao	1	怊
che	18851	车
che	1733	扯
che	1527	尺
che	952	撤
che	226	彻
che	124	澈
che	104	掣
che	1	㬚
che	1	坼
che	1	砗
chen	2166	趁
chen	2141	称
chen	950	陈
chen	736	沉
chen	335	臣
chen	312	尘
chen	133	琛
chen	118	辰
chen	105	衬
chen	80	嗔
chen	80	忱
chen	80	抻
chen	80	梣
chen	80	棽
chen	80	瞋
chen	80	郴
chen	80	𬘭
chen	64	晨
chen	9	谶
chen	7	宸
chen	5	疢
chen	5	谌
chen	1	榇
chen	1	煁
chen	1	碜
chen	1	龀
cheng	12219	成
cheng	3105	城
cheng	1433	撑
cheng	1409	程
cheng	999	乘
cheng	573	呈
cheng	261	承
cheng	218	橙
cheng	207	秤
cheng	189	惩
cheng	173	晟
cheng	171	盛
cheng	161	骋
cheng	131	逞
cheng	85	称
cheng	80	丞
cheng	80	憕
cheng	80	柽
cheng	80	澄
cheng	80	珵
cheng	80	瞠
cheng	80	铛
cheng	78	诚
cheng	44	珹
cheng	38	埕
cheng	5	裎
cheng	3	琤
cheng	1	偁
cheng	1	塍
cheng	1	宬
cheng	1	庱
cheng	1	枨
cheng	1	澂
cheng	1	牚
cheng	1	蛏
cheng	1	赪
cheng	1	酲
cheng	1	铖
chi	65392	吃
chi	1357	迟
chi	429	耻
chi	416	翅
chi	399	痴
chi	375	持
chi	270	池
chi	210	赤
chi	197	侈
chi	183	褫
chi	104	齿
chi	80	匙
chi	80	叱
chi	80	哧
chi	80	啻
chi	80	尺
chi	80	彳
chi	80	敕
chi	80	斥
chi	80	漦
chi	80	豉
chi	52	嗤
chi	44	驰
chi	22	痓
chi	17	媸
chi	16	弛
chi	16	茌
chi	8	傺
chi	6	笞
chi	5	胣
chi	5	饬
chi	5	鸱
chi	3	蚩
chi	2	眵
chi	1	墀
chi	1	摛
chi	1	炽
chi	1	瓻
chi	1	瘛
chi	1	篪
chi	1	螭
chi	1	踟
chi	1	魑
chi	1	𫄨
chong	3531	冲
chong	3406	种
chong	2867	重
chong	1130	虫
chong	163	涌
chong	135	宠
chong	126	充
chong	80	憧
chong	80	漴
chong	80	舂
chong	80	艟
chong	33	崇
chong	13	铳
chong	1	㳘
chong	1	忡
chong	1	摏
chong	1	珫
chong	1	翀
chong	1	茺
chou	4683	臭
chou	3571	抽
chou	1018	丑
chou	556	仇
chou	356	瞅
chou	168	愁
chou	129	踌
chou	102	筹
chou	80	帱
chou	80	惆
chou	80	杻
chou	80	椆
chou	80	瘳
chou	80	稠
chou	25	酬
chou	12	畴
chou	8	绸
chou	2	雠
chou	1	侴
chou	1	俦
chou	1	犨
chu	28686	出
chu	4168	处
chu	1122	初
chu	768	除
chu	472	矗
chu	359	厨
chu	164	触
chu	137	楚
chu	109	杵
chu	80	俶
chu	80	怵
chu	80	摴
chu	80	楮
chu	80	畜
chu	80	蜍
chu	80	褚
chu	80	躇
chu	74	搐
chu	44	础
chu	35	储
chu	31	橱
chu	25	锄
chu	9	琡
chu	7	雏
chu	2	亍
chu	2	憷
chu	2	樗
chu	1	䝙
chu	1	䢺
chu	1	刍
chu	1	斶
chu	1	滁
chu	1	濋
chu	1	绌
chu	1	蹰
chu	1	黜
chu	1	𬺓
chuai	331	踹
chuai	100	揣
chuai	80	啜
chuai	80	搋
chuan	21460	穿
